onset	duration	event_type	blink	message
5103900	18.0	saccade	0.0	
5103918	432.0	fixation	0.0	
5104352	59.0	saccade	0.0	
5104412	44.0	fixation	0.0	
5104455	16.0	saccade	0.0	
5104471	81.0	fixation	0.0	
5104555	42.0	saccade	0.0	
5104598	321.0	fixation	0.0	
5104919	25.0	saccade	0.0	
5104944	402.0	fixation	0.0	
5105345	8.0	saccade	0.0	
5105353	251.0	fixation	0.0	
5105606	35.0	saccade	0.0	
5105642	497.0	fixation	0.0	
5106139	9.0	saccade	0.0	
5106149	244.0	fixation	0.0	
5106393	6.0	saccade	0.0	
5106399	1012.0	fixation	0.0	
5107411	7.0	saccade	0.0	
5107426	2641.0	fixation	0.0	
5110060	58.0	saccade	0.0	
5110118	254.0	fixation	0.0	
5110371	18.0	saccade	0.0	
5110389	229.0	fixation	0.0	
5110619	16.0	saccade	0.0	
5110634	24.0	fixation	0.0	
5110661	11.0	saccade	0.0	
5110675	116.0	fixation	0.0	
5110833	301.0	blink	1.0	
5110792	389.0	saccade	0.0	
5111202	188.0	fixation	0.0	
5111370	19.0	saccade	0.0	
5111390	295.0	fixation	0.0	
5111684	24.0	saccade	0.0	
5111707	179.0	fixation	0.0	
5111887	79.0	saccade	0.0	
5111965	126.0	fixation	0.0	
5112091	92.0	saccade	0.0	
5112185	165.0	fixation	0.0	
5112349	31.0	saccade	0.0	
5112380	591.0	fixation	0.0	
5112972	22.0	saccade	0.0	
5112994	56.0	fixation	0.0	
5113096	125.0	blink	1.0	
5113056	219.0	saccade	0.0	
5113270	508.0	fixation	0.0	
5113779	24.0	saccade	0.0	
5113811	183.0	fixation	0.0	
5113986	26.0	saccade	0.0	
5114012	306.0	fixation	0.0	
5114319	33.0	saccade	0.0	
5114353	185.0	fixation	0.0	
5114539	33.0	saccade	0.0	
5114572	441.0	fixation	0.0	
5115013	19.0	saccade	0.0	
5115032	1794.0	fixation	0.0	
5116857	139.0	blink	1.0	
5116828	216.0	saccade	0.0	
5117068	279.0	fixation	0.0	
5117348	44.0	saccade	0.0	
5117401	142.0	fixation	0.0	
5117534	49.0	saccade	0.0	
5117584	170.0	fixation	0.0	
5117755	18.0	saccade	0.0	
5117774	178.0	fixation	0.0	
5117951	39.0	saccade	0.0	
5118000	137.0	fixation	0.0	
5118127	89.0	saccade	0.0	
5118217	277.0	fixation	0.0	
5118493	30.0	saccade	0.0	
5118525	52.0	fixation	0.0	
5118577	25.0	saccade	0.0	
5118607	206.0	fixation	0.0	
5118825	8.0	saccade	0.0	
5118840	129.0	fixation	0.0	
5118969	104.0	saccade	0.0	
5119075	143.0	fixation	0.0	
5119217	36.0	saccade	0.0	
5119874				CS
5119262	1116.0	fixation	0.0	
5120369	8.0	saccade	0.0	
5120377	179.0	fixation	0.0	
5120556	16.0	saccade	0.0	
5120572	212.0	fixation	0.0	
5120786	6.0	saccade	0.0	
